token	corpus size	all contexts size	frequency	co-frequency	specificity
「	35464	12886	589	366	37.05
」	35464	12886	618	373	33.88
値	35464	12886	46	44	16.74
し	35464	12886	513	271	14.18
を	35464	12886	1022	484	13.21
する	35464	12886	291	167	12.95
は	35464	12886	951	439	10.17
、	35464	12886	1422	626	9.68
心理	35464	12886	89	60	8.74
title	35464	12886	34	28	7.36
応え	35464	12886	20	19	7.25
index	35464	12886	34	27	6.52
の	35464	12886	1427	603	6.46
超える	35464	12886	18	17	6.42
w	35464	12886	35	27	6.07
バイアス	35464	12886	20	18	6.03
不足	35464	12886	20	18	6.03
日銀	35464	12886	12	12	5.28
働きかける	35464	12886	12	12	5.28
cite	35464	12886	12	12	5.28
～	35464	12886	18	16	5.24
における	35464	12886	15	14	5.18
に	35464	12886	1040	439	5.00
php	35464	12886	38	27	4.95
学	35464	12886	44	30	4.88
考察	35464	12886	11	11	4.84
action	35464	12886	19	16	4.64
裏切ら	35464	12886	23	18	4.37
他人	35464	12886	27	20	4.22
政策	35464	12886	29	21	4.17
に対する	35464	12886	31	22	4.14
方法	35464	12886	15	13	4.09
持つ	35464	12886	46	29	3.84
相手	35464	12886	121	62	3.57
．	35464	12886	11	10	3.55
違和感	35464	12886	11	10	3.55
過度	35464	12886	11	10	3.55
と	35464	12886	594	252	3.54
）～	35464	12886	8	8	3.52
結果	35464	12886	52	31	3.47
こと	35464	12886	430	187	3.45
という	35464	12886	141	70	3.44
何	35464	12886	55	32	3.31
について	35464	12886	51	30	3.25
ない	35464	12886	274	123	3.16
示す	35464	12886	10	9	3.15
外れ	35464	12886	7	7	3.08
トレーニング	35464	12886	7	7	3.08
section	35464	12886	7	7	3.08
人	35464	12886	127	62	2.95
へ	35464	12886	53	30	2.91
メリット	35464	12886	16	12	2.80
edit	35464	12886	16	12	2.80
金融	35464	12886	18	13	2.76
なけれ	35464	12886	9	8	2.76
に関して	35464	12886	9	8	2.76
過剰	35464	12886	9	8	2.76
重要	35464	12886	28	18	2.76
]「	35464	12886	22	15	2.74
悪い	35464	12886	6	6	2.64
text	35464	12886	6	6	2.64
誘出	35464	12886	6	6	2.64
ref	35464	12886	6	6	2.64
家庭	35464	12886	6	6	2.64
失望	35464	12886	33	20	2.59
ja	35464	12886	112	54	2.56
にとって	35464	12886	23	15	2.47
文化	35464	12886	17	12	2.47
家	35464	12886	19	13	2.46
で	35464	12886	577	234	2.43
から	35464	12886	146	67	2.40
そもそも	35464	12886	8	7	2.37
抱く	35464	12886	8	7	2.37
インフレ	35464	12886	8	7	2.37
変形	35464	12886	8	7	2.37
たい	35464	12886	90	44	2.36
たち	35464	12886	41	23	2.34
や	35464	12886	177	79	2.34
誰	35464	12886	30	18	2.33
良い	35464	12886	39	22	2.30
行動	35464	12886	26	16	2.27
wikipedia	35464	12886	118	55	2.27
コントロール	35464	12886	10	8	2.26
同僚	35464	12886	5	5	2.20
母	35464	12886	5	5	2.20
適切	35464	12886	5	5	2.20
❝	35464	12886	5	5	2.20
物事	35464	12886	14	10	2.18
において	35464	12886	16	11	2.18
要求	35464	12886	27	16	2.08
感	35464	12886	72	35	2.01
部下	35464	12886	7	6	1.99
上司	35464	12886	17	11	1.92
強い	35464	12886	17	11	1.92
すぎ	35464	12886	9	7	1.91
対応	35464	12886	9	7	1.91
影響	35464	12886	28	16	1.91
デメリット	35464	12886	15	10	1.90
自分	35464	12886	183	78	1.89
ため	35464	12886	71	34	1.89
大きい	35464	12886	4	4	1.76
余白	35464	12886	4	4	1.76
たった	35464	12886	4	4	1.76
１つ	35464	12886	4	4	1.76
語	35464	12886	4	4	1.76
なにか	35464	12886	4	4	1.76
背景	35464	12886	4	4	1.76
105005271	35464	12886	4	4	1.76
returnto	35464	12886	4	4	1.76
Lazarus	35464	12886	4	4	1.76
本質	35464	12886	4	4	1.76
制する	35464	12886	4	4	1.76
使い分け	35464	12886	4	4	1.76
❞	35464	12886	4	4	1.76
自発	35464	12886	4	4	1.76
１	35464	12886	20	12	1.75
周囲	35464	12886	20	12	1.75
ポジティブ	35464	12886	18	11	1.71
か	35464	12886	209	86	1.70
なく	35464	12886	56	27	1.69
さ	35464	12886	102	45	1.67
ず	35464	12886	25	14	1.66
意味	35464	12886	32	17	1.66
ば	35464	12886	59	28	1.65
この	35464	12886	113	49	1.63
また	35464	12886	30	16	1.62
知る	35464	12886	6	5	1.62
応える	35464	12886	6	5	1.62
使い方	35464	12886	6	5	1.62
次に	35464	12886	6	5	1.62
求める	35464	12886	6	5	1.62
