token	corpus size	all contexts size	frequency	co-frequency	specificity
ば	22837	6874	22	10	1.27
高校	22837	6874	25	11	1.26
時	22837	6874	31	13	1.26
言葉	22837	6874	11	6	1.24
・	22837	6874	142	46	1.22
小さい	22837	6874	6	4	1.22
聞く	22837	6874	6	4	1.22
過去	22837	6874	6	4	1.22
小田	22837	6874	6	4	1.22
和正	22837	6874	6	4	1.22
勝ち	22837	6874	6	4	1.22
The	22837	6874	6	4	1.22
名	22837	6874	14	7	1.20
ある	22837	6874	61	22	1.19
支援	22837	6874	29	12	1.19
さん	22837	6874	39	15	1.15
性	22837	6874	36	14	1.14
幸福	22837	6874	9	5	1.13
たり	22837	6874	9	5	1.13
高等	22837	6874	9	5	1.13
前年度	22837	6874	9	5	1.13
若者	22837	6874	9	5	1.13
プロジェクト	22837	6874	9	5	1.13
くる	22837	6874	4	3	1.12
とか	22837	6874	4	3	1.12
パン	22837	6874	4	3	1.12
ほう	22837	6874	4	3	1.12
だから	22837	6874	4	3	1.12
個人	22837	6874	4	3	1.12
あふれる	22837	6874	4	3	1.12
作家	22837	6874	4	3	1.12
開封	22837	6874	4	3	1.12
キリスト教	22837	6874	4	3	1.12
ref	22837	6874	4	3	1.12
大阪芸術大学	22837	6874	4	3	1.12
絵	22837	6874	4	3	1.12
喜び	22837	6874	4	3	1.12
ふさわしい	22837	6874	4	3	1.12
パーセント	22837	6874	4	3	1.12
バージョン	22837	6874	4	3	1.12
生まれ	22837	6874	4	3	1.12
取り戻す	22837	6874	4	3	1.12
な	22837	6874	119	36	1.10
特別	22837	6874	24	10	1.10
抽選	22837	6874	12	6	1.10
意味	22837	6874	12	6	1.10
それ	22837	6874	12	6	1.10
aik	22837	6874	12	6	1.10
2025122908	22837	6874	12	6	1.10
29	22837	6874	21	9	1.09
だろ	22837	6874	15	7	1.09
だけ	22837	6874	15	7	1.09
クリスマス	22837	6874	15	7	1.09
2	22837	6874	61	21	1.09
ない	22837	6874	87	28	1.08
ん	22837	6874	34	13	1.08
わかる	22837	6874	2	2	1.04
挙げ	22837	6874	2	2	1.04
感じる	22837	6874	2	2	1.04
どっち	22837	6874	2	2	1.04
強弱	22837	6874	2	2	1.04
強く	22837	6874	2	2	1.04
まず	22837	6874	2	2	1.04
話し	22837	6874	2	2	1.04
自覚	22837	6874	2	2	1.04
あたえ	22837	6874	2	2	1.04
広げ	22837	6874	2	2	1.04
ホームページ	22837	6874	2	2	1.04
再任	22837	6874	2	2	1.04
マップ	22837	6874	2	2	1.04
巨大	22837	6874	2	2	1.04
t	22837	6874	2	2	1.04
アプローチ	22837	6874	2	2	1.04
問い	22837	6874	2	2	1.04
125	22837	6874	2	2	1.04
書籍	22837	6874	2	2	1.04
いわ	22837	6874	2	2	1.04
159	22837	6874	2	2	1.04
164	22837	6874	2	2	1.04
166	22837	6874	2	2	1.04
331	22837	6874	2	2	1.04
アカウント	22837	6874	2	2	1.04
ログイン	22837	6874	2	2	1.04
history	22837	6874	2	2	1.04
page	22837	6874	2	2	1.04
wikiquote	22837	6874	2	2	1.04
num	22837	6874	2	2	1.04
scholar	22837	6874	2	2	1.04
jps	22837	6874	2	2	1.04
cross	22837	6874	2	2	1.04
新浜	22837	6874	2	2	1.04
公表	22837	6874	2	2	1.04
－	22837	6874	2	2	1.04
与える	22837	6874	2	2	1.04
神戸	22837	6874	2	2	1.04
載せ	22837	6874	2	2	1.04
走り	22837	6874	2	2	1.04
一人ひとり	22837	6874	2	2	1.04
余地	22837	6874	2	2	1.04
輝かしい	22837	6874	2	2	1.04
被災	22837	6874	2	2	1.04
ゲスト	22837	6874	2	2	1.04
展開	22837	6874	2	2	1.04
パラドキシカル	22837	6874	2	2	1.04
─	22837	6874	2	2	1.04
ぬ	22837	6874	2	2	1.04
ヘレン	22837	6874	2	2	1.04
ケラー	22837	6874	2	2	1.04
むしろ	22837	6874	2	2	1.04
いたっ	22837	6874	2	2	1.04
持た	22837	6874	2	2	1.04
によって	22837	6874	2	2	1.04
長年	22837	6874	2	2	1.04
wiki	22837	6874	84	26	1.03
その	22837	6874	35	13	1.03
か	22837	6874	69	22	1.01
実施	22837	6874	7	4	1.01
タイム	22837	6874	7	4	1.01
カプセル	22837	6874	7	4	1.01
最高	22837	6874	7	4	1.01
よ	22837	6874	19	8	1.00
第	22837	6874	19	8	1.00
人	22837	6874	72	22	0.99
品	22837	6874	36	13	0.99
見え	22837	6874	10	5	0.98
等	22837	6874	10	5	0.98
音楽	22837	6874	10	5	0.98
％	22837	6874	13	6	0.98
01	22837	6874	13	6	0.98
お	22837	6874	23	9	0.96
】	22837	6874	45	15	0.95
隊	22837	6874	20	8	0.94
地域	22837	6874	27	10	0.93
う	22837	6874	52	15	0.92
0	22837	6874	28	10	0.90
でも	22837	6874	14	6	0.90
クリック	22837	6874	14	6	0.90
全	22837	6874	14	6	0.90
や	22837	6874	45	13	0.89
として	22837	6874	21	8	0.88
本質	22837	6874	11	5	0.88
状態	22837	6874	11	5	0.88
［	22837	6874	11	5	0.88
愛知	22837	6874	11	5	0.88
B	22837	6874	11	5	0.88
やっぱり	22837	6874	5	3	0.88
ご飯	22837	6874	5	3	0.88
最初	22837	6874	5	3	0.88
影響	22837	6874	5	3	0.88
出世	22837	6874	5	3	0.88
神話	22837	6874	5	3	0.88
地	22837	6874	5	3	0.88
大	22837	6874	5	3	0.88
結果	22837	6874	5	3	0.88
今日	22837	6874	5	3	0.88
発信	22837	6874	5	3	0.88
語る	22837	6874	5	3	0.88
具体	22837	6874	5	3	0.88
可能	22837	6874	33	11	0.87
活動	22837	6874	29	10	0.87
言っ	22837	6874	8	4	0.86
場	22837	6874	8	4	0.86
頃	22837	6874	8	4	0.86
先発	22837	6874	8	4	0.86
ワールド	22837	6874	8	4	0.86
き	22837	6874	18	7	0.86
できる	22837	6874	18	7	0.86
子ども	22837	6874	18	7	0.86
協力	22837	6874	30	10	0.85
なかっ	22837	6874	15	6	0.83
感じ	22837	6874	19	7	0.81
11	22837	6874	12	5	0.80
30	22837	6874	12	5	0.80
応募	22837	6874	12	5	0.80
2026	22837	6874	25	8	0.78
article	22837	6874	25	8	0.78
患者	22837	6874	27	8	0.78
的	22837	6874	26	8	0.78
25	22837	6874	26	8	0.78
じゃ	22837	6874	9	4	0.76
とともに	22837	6874	9	4	0.76
佐賀	22837	6874	9	4	0.76
約束	22837	6874	9	4	0.76
方	22837	6874	21	7	0.76
co	22837	6874	21	7	0.76
市	22837	6874	24	7	0.75
より	22837	6874	22	7	0.75
受験	22837	6874	17	6	0.75
教育	22837	6874	17	6	0.75
あっ	22837	6874	13	5	0.74
山	22837	6874	6	3	0.73
雅	22837	6874	6	3	0.73
ミュージアム	22837	6874	6	3	0.73
言う	22837	6874	6	3	0.73
同じ	22837	6874	6	3	0.73
時代	22837	6874	6	3	0.73
ほど	22837	6874	6	3	0.73
生きる	22837	6874	6	3	0.73
給料	22837	6874	6	3	0.73
しかし	22837	6874	6	3	0.73
会議	22837	6874	6	3	0.73
更新	22837	6874	6	3	0.73
ポイント	22837	6874	6	3	0.73
みる	22837	6874	6	3	0.73
ね	22837	6874	18	6	0.73
利用	22837	6874	3	2	0.72
いこ	22837	6874	3	2	0.72
術	22837	6874	3	2	0.72
期待	22837	6874	3	2	0.72
ここ	22837	6874	3	2	0.72
大事	22837	6874	3	2	0.72
ところ	22837	6874	3	2	0.72
成功	22837	6874	3	2	0.72
当事者	22837	6874	3	2	0.72
箱	22837	6874	3	2	0.72
残っ	22837	6874	3	2	0.72
引用	22837	6874	3	2	0.72
zh	22837	6874	3	2	0.72
104	22837	6874	3	2	0.72
105	22837	6874	3	2	0.72
レオン	22837	6874	3	2	0.72
感謝	22837	6874	3	2	0.72
ステージ	22837	6874	3	2	0.72
専門	22837	6874	3	2	0.72
減	22837	6874	3	2	0.72
兵庫	22837	6874	3	2	0.72
1258653	22837	6874	3	2	0.72
描く	22837	6874	3	2	0.72
描い	22837	6874	3	2	0.72
OM	22837	6874	3	2	0.72
ボード	22837	6874	3	2	0.72
KMI	22837	6874	3	2	0.72
溢れ	22837	6874	3	2	0.72
歩い	22837	6874	3	2	0.72
貫禄	22837	6874	3	2	0.72
東和薬品	22837	6874	3	2	0.72
presents	22837	6874	3	2	0.72
]「	22837	6874	3	2	0.72
ネジ	22837	6874	3	2	0.72
断念	22837	6874	3	2	0.72
中学	22837	6874	3	2	0.72
調整	22837	6874	3	2	0.72
そして	22837	6874	10	4	0.70
令和	22837	6874	15	5	0.68
ご	22837	6874	17	5	0.68
なっ	22837	6874	17	5	0.68
note	22837	6874	16	5	0.68
万	22837	6874	16	5	0.68
search	22837	6874	11	4	0.66
どんな	22837	6874	7	3	0.64
だるま	22837	6874	7	3	0.64
歩	22837	6874	7	3	0.64
なら	22837	6874	7	3	0.64
宗教	22837	6874	7	3	0.64
60	22837	6874	7	3	0.64
調べ	22837	6874	7	3	0.64
差額	22837	6874	7	3	0.64
高額	22837	6874	7	3	0.64
れる	22837	6874	14	4	0.64
そんな	22837	6874	13	4	0.63
～	22837	6874	13	4	0.63
『	22837	6874	13	4	0.63
articles	22837	6874	12	3	0.62
違う	22837	6874	8	3	0.59
28	22837	6874	8	3	0.59
·	22837	6874	8	3	0.59
］	22837	6874	11	3	0.59
○	22837	6874	11	3	0.59
大切	22837	6874	11	3	0.59
に関する	22837	6874	11	3	0.59
学科	22837	6874	11	3	0.59
テーマ	22837	6874	4	2	0.58
っていう	22837	6874	4	2	0.58
ましょ	22837	6874	4	2	0.58
きっと	22837	6874	4	2	0.58
みたい	22837	6874	4	2	0.58
確か	22837	6874	4	2	0.58
使う	22837	6874	4	2	0.58
抱く	22837	6874	4	2	0.58
分け	22837	6874	4	2	0.58
誰	22837	6874	4	2	0.58
○[	22837	6874	4	2	0.58
見つける	22837	6874	4	2	0.58
132	22837	6874	4	2	0.58
足	22837	6874	4	2	0.58
つい	22837	6874	4	2	0.58
現実	22837	6874	4	2	0.58
信仰	22837	6874	4	2	0.58
137	22837	6874	4	2	0.58
138	22837	6874	4	2	0.58
値	22837	6874	4	2	0.58
一方	22837	6874	4	2	0.58
達	22837	6874	4	2	0.58
◆	22837	6874	4	2	0.58
実際	22837	6874	4	2	0.58
切る	22837	6874	4	2	0.58
notte	22837	6874	4	2	0.58
stellata	22837	6874	4	2	0.58
姿	22837	6874	4	2	0.58
職業	22837	6874	4	2	0.58
運動	22837	6874	4	2	0.58
事業	22837	6874	10	3	0.57
関係	22837	6874	10	3	0.57
写真	22837	6874	10	3	0.57
行動	22837	6874	9	3	0.57
私	22837	6874	9	3	0.57
必要	22837	6874	9	3	0.57
変化	22837	6874	9	3	0.57
ちょっと	22837	6874	8	2	0.53
生き	22837	6874	8	2	0.53
自身	22837	6874	8	2	0.53
32	22837	6874	8	2	0.53
県内	22837	6874	8	2	0.53
14	22837	6874	8	2	0.53
さいたま	22837	6874	8	2	0.53
コミュニケーションアプリ	22837	6874	1	1	0.52
確認	22837	6874	1	1	0.52
形成	22837	6874	1	1	0.52
トーク	22837	6874	1	1	0.52
画面	22837	6874	1	1	0.52
あいつ	22837	6874	1	1	0.52
もてる	22837	6874	1	1	0.52
言える	22837	6874	1	1	0.52
ぞ	22837	6874	1	1	0.52
いろんな	22837	6874	1	1	0.52
を通して	22837	6874	1	1	0.52
はず	22837	6874	1	1	0.52
わい	22837	6874	1	1	0.52
ゴール	22837	6874	1	1	0.52
だんだん	22837	6874	1	1	0.52
上手	22837	6874	1	1	0.52
特効薬	22837	6874	1	1	0.52
開発	22837	6874	1	1	0.52
向こう	22837	6874	1	1	0.52
降り注ぐ	22837	6874	1	1	0.52
言い	22837	6874	1	1	0.52
言い方	22837	6874	1	1	0.52
ち	22837	6874	1	1	0.52
やばい	22837	6874	1	1	0.52
そっ	22837	6874	1	1	0.52
うた	22837	6874	1	1	0.52
向かわ	22837	6874	1	1	0.52
なー	22837	6874	1	1	0.52
かなう	22837	6874	1	1	0.52
ねえ	22837	6874	1	1	0.52
いえ	22837	6874	1	1	0.52
なんとなく	22837	6874	1	1	0.52
強い	22837	6874	1	1	0.52
言え	22837	6874	1	1	0.52
見いだし	22837	6874	1	1	0.52
とにかく	22837	6874	1	1	0.52
いやー	22837	6874	1	1	0.52
ねぇ	22837	6874	1	1	0.52
こんな	22837	6874	1	1	0.52
なにか	22837	6874	1	1	0.52
をもって	22837	6874	1	1	0.52
しよう	22837	6874	1	1	0.52
メモ	22837	6874	1	1	0.52
引っ張り	22837	6874	1	1	0.52
不	22837	6874	1	1	0.52
確実	22837	6874	1	1	0.52
amzn	22837	6874	1	1	0.52
立ちふさがる	22837	6874	1	1	0.52
難題	22837	6874	1	1	0.52
ポジティブ	22837	6874	1	1	0.52
本書	22837	6874	1	1	0.52
勝る	22837	6874	1	1	0.52
大いに	22837	6874	1	1	0.52
単に	22837	6874	1	1	0.52
困難	22837	6874	1	1	0.52
伝染	22837	6874	1	1	0.52
効用	22837	6874	1	1	0.52
介護	22837	6874	1	1	0.52
178	22837	6874	1	1	0.52
179	22837	6874	1	1	0.52
180	22837	6874	1	1	0.52
宣言	22837	6874	1	1	0.52
776	22837	6874	1	1	0.52
目指し	22837	6874	1	1	0.52
サポーター	22837	6874	1	1	0.52
養成	22837	6874	1	1	0.52
講座	22837	6874	1	1	0.52
837	22837	6874	1	1	0.52
185	22837	6874	1	1	0.52
手引き	22837	6874	1	1	0.52
誕生	22837	6874	1	1	0.52
アイデア	22837	6874	1	1	0.52
柿下	22837	6874	1	1	0.52
秋男	22837	6874	1	1	0.52
経っ	22837	6874	1	1	0.52
経ち	22837	6874	1	1	0.52
うぶ	22837	6874	1	1	0.52
アクション	22837	6874	1	1	0.52
！～」	22837	6874	1	1	0.52
済	22837	6874	1	1	0.52
つづけ	22837	6874	1	1	0.52
世代	22837	6874	1	1	0.52
知らせ	22837	6874	1	1	0.52
届き	22837	6874	1	1	0.52
独自	22837	6874	1	1	0.52
芥川賞	22837	6874	1	1	0.52
毎年	22837	6874	1	1	0.52
当てる	22837	6874	1	1	0.52
入り	22837	6874	1	1	0.52
プレゼント	22837	6874	1	1	0.52
青年	22837	6874	1	1	0.52
団	22837	6874	1	1	0.52
封入	22837	6874	1	1	0.52
受け継が	22837	6874	1	1	0.52
背景	22837	6874	1	1	0.52
あふれ	22837	6874	1	1	0.52
活力	22837	6874	1	1	0.52
描こ	22837	6874	1	1	0.52
なかなか	22837	6874	1	1	0.52
嫌	22837	6874	1	1	0.52
粒	22837	6874	1	1	0.52
きやすい	22837	6874	1	1	0.52
たとえ	22837	6874	1	1	0.52
違っ	22837	6874	1	1	0.52
あくまで	22837	6874	1	1	0.52
叶える	22837	6874	1	1	0.52
おら	22837	6874	1	1	0.52
休む	22837	6874	1	1	0.52
もし	22837	6874	1	1	0.52
リクライニング	22837	6874	1	1	0.52
車椅子	22837	6874	1	1	0.52
content	22837	6874	1	1	0.52
用法	22837	6874	1	1	0.52
)」	22837	6874	1	1	0.52
–	22837	6874	1	1	0.52
スカラー	22837	6874	1	1	0.52
ホープ	22837	6874	1	1	0.52
英	22837	6874	1	1	0.52
解き放た	22837	6874	1	1	0.52
神徳	22837	6874	1	1	0.52
果たす	22837	6874	1	1	0.52
幻滅	22837	6874	1	1	0.52
我欲	22837	6874	1	1	0.52
他人	22837	6874	1	1	0.52
傷つける	22837	6874	1	1	0.52
焦点	22837	6874	1	1	0.52
合わせる	22837	6874	1	1	0.52
理由	22837	6874	1	1	0.52
2018	22837	6874	1	1	0.52
句集	22837	6874	1	1	0.52
ウィキメディア・コモンズ	22837	6874	1	1	0.52
bodyContent	22837	6874	1	1	0.52
wuu	22837	6874	1	1	0.52
yue	22837	6874	1	1	0.52
ノート	22837	6874	1	1	0.52
redlink	22837	6874	1	1	0.52
wpFormIdentifier	22837	6874	1	1	0.52
titleform	22837	6874	1	1	0.52
ブック	22837	6874	1	1	0.52
bookcmd	22837	6874	1	1	0.52
creator	22837	6874	1	1	0.52
referer	22837	6874	1	1	0.52
DownloadAsPdf	22837	6874	1	1	0.52
download	22837	6874	1	1	0.52
printable	22837	6874	1	1	0.52
yes	22837	6874	1	1	0.52
as	22837	6874	1	1	0.52
eq	22837	6874	1	1	0.52
tbm	22837	6874	1	1	0.52
nws	22837	6874	1	1	0.52
tbs	22837	6874	1	1	0.52
bks	22837	6874	1	1	0.52
ci	22837	6874	1	1	0.52
nii	22837	6874	1	1	0.52
ac	22837	6874	1	1	0.52
opensearch	22837	6874	1	1	0.52
lang	22837	6874	1	1	0.52
range	22837	6874	1	1	0.52
sortorder	22837	6874	1	1	0.52
jstage	22837	6874	1	1	0.52
jst	22837	6874	1	1	0.52
result	22837	6874	1	1	0.52
global	22837	6874	1	1	0.52
char	22837	6874	1	1	0.52
globalSearchKey	22837	6874	1	1	0.52
ndlsearch	22837	6874	1	1	0.52
ndl	22837	6874	1	1	0.52
api	22837	6874	1	1	0.52
openurl	22837	6874	1	1	0.52
any	22837	6874	1	1	0.52
jpsearch	22837	6874	1	1	0.52
csearch	22837	6874	1	1	0.52
csid	22837	6874	1	1	0.52
wiktionary	22837	6874	1	1	0.52
Search	22837	6874	1	1	0.52
307	22837	6874	1	1	0.52
315	22837	6874	1	1	0.52
351	22837	6874	1	1	0.52
mobileaction	22837	6874	1	1	0.52
toggle	22837	6874	1	1	0.52
view	22837	6874	1	1	0.52
mobile	22837	6874	1	1	0.52
･･･	22837	6874	1	1	0.52
056	22837	6874	1	1	0.52
最	22837	6874	1	1	0.52
定時	22837	6874	1	1	0.52
人員	22837	6874	1	1	0.52
に対する	22837	6874	1	1	0.52
66	22837	6874	1	1	0.52
Tue	22837	6874	1	1	0.52
目まぐるしい	22837	6874	1	1	0.52
個性	22837	6874	1	1	0.52
語れる	22837	6874	1	1	0.52
繋がっ	22837	6874	1	1	0.52
個々	22837	6874	1	1	0.52
縮図	22837	6874	1	1	0.52
是非	22837	6874	1	1	0.52
泣き	22837	6874	1	1	0.52
泣く	22837	6874	1	1	0.52
父	22837	6874	1	1	0.52
キャラクター	22837	6874	1	1	0.52
．	22837	6874	1	1	0.52
問わ	22837	6874	1	1	0.52
⽇	22837	6874	1	1	0.52
味わう	22837	6874	1	1	0.52
Vol	22837	6874	1	1	0.52
つくる	22837	6874	1	1	0.52
CREAT	22837	6874	1	1	0.52
005	22837	6874	1	1	0.52
保証	22837	6874	1	1	0.52
評価	22837	6874	1	1	0.52
探索	22837	6874	1	1	0.52
残り	22837	6874	1	1	0.52
押し出す	22837	6874	1	1	0.52
軽く	22837	6874	1	1	0.52
地平	22837	6874	1	1	0.52
照らし	22837	6874	1	1	0.52
はじめる	22837	6874	1	1	0.52
抱き	22837	6874	1	1	0.52
纏っ	22837	6874	1	1	0.52
宿し	22837	6874	1	1	0.52
穏やか	22837	6874	1	1	0.52
祈り	22837	6874	1	1	0.52
まるで	22837	6874	1	1	0.52
プレー	22837	6874	1	1	0.52
SAIKYO	22837	6874	1	1	0.52
茜	22837	6874	1	1	0.52
再春館製薬所	22837	6874	1	1	0.52
男子	22837	6874	1	1	0.52
奈良岡	22837	6874	1	1	0.52
功	22837	6874	1	1	0.52
真に	22837	6874	1	1	0.52
勝利	22837	6874	1	1	0.52
階	22837	6874	1	1	0.52
級	22837	6874	1	1	0.52
制覇	22837	6874	1	1	0.52
ユース	22837	6874	1	1	0.52
オーケストラ	22837	6874	1	1	0.52
迎え	22837	6874	1	1	0.52
美しく	22837	6874	1	1	0.52
サロン	22837	6874	1	1	0.52
名言	22837	6874	1	1	0.52
集	22837	6874	1	1	0.52
まだまだ	22837	6874	1	1	0.52
福井	22837	6874	1	1	0.52
研究	22837	6874	1	1	0.52
にまつわる	22837	6874	1	1	0.52
格言	22837	6874	1	1	0.52
といった	22837	6874	1	1	0.52
つまら	22837	6874	1	1	0.52
財産	22837	6874	1	1	0.52
立派	22837	6874	1	1	0.52
マシ	22837	6874	1	1	0.52
ドイツ	22837	6874	1	1	0.52
ァー	22837	6874	1	1	0.52
悩む	22837	6874	1	1	0.52
かぎり	22837	6874	1	1	0.52
抱け	22837	6874	1	1	0.52
つねに	22837	6874	1	1	0.52
偉業	22837	6874	1	1	0.52
成し遂げ	22837	6874	1	1	0.52
彼女	22837	6874	1	1	0.52
導く	22837	6874	1	1	0.52
何事	22837	6874	1	1	0.52
成就	22837	6874	1	1	0.52
さすが	22837	6874	1	1	0.52
虚妄	22837	6874	1	1	0.52
まさに	22837	6874	1	1	0.52
三木	22837	6874	1	1	0.52
清	22837	6874	1	1	0.52
物	22837	6874	1	1	0.52
欲	22837	6874	1	1	0.52
真	22837	6874	1	1	0.52
フランス	22837	6874	1	1	0.52
カミュ	22837	6874	1	1	0.52
信じ	22837	6874	1	1	0.52
読む	22837	6874	1	1	0.52
気の毒	22837	6874	1	1	0.52
すばらしさ	22837	6874	1	1	0.52
ストレート	22837	6874	1	1	0.52
わずか	22837	6874	1	1	0.52
すぎ	22837	6874	1	1	0.52
ほ	22837	6874	1	1	0.52
みえ	22837	6874	1	1	0.52
なかでも	22837	6874	1	1	0.52
すると	22837	6874	1	1	0.52
求めれ	22837	6874	1	1	0.52
出会う	22837	6874	1	1	0.52
あわせ	22837	6874	1	1	0.52
過程	22837	6874	1	1	0.52
けれども	22837	6874	1	1	0.52
逆説	22837	6874	1	1	0.52
真実	22837	6874	1	1	0.52
本来	22837	6874	1	1	0.52
逃げ	22837	6874	1	1	0.52
